R28045	P15259	R27853
R25447	compareContribution	R25405
R25668	P15071	L48566
R64818	P33150	L203554
R62555	P33133	L176738
R31941	P32	R31811
R66429	P33150	L222886
R61645	P33133	L165818
R59464	P33046	L142014
R6070	P33	R6001
R56639	P33011	L116976
R50673	url	L92822
R67416	P33145	L234725
R56697	P31005	L117522
R26218	P15147	R26163
R65498	P33148	L211712
R67426	P33146	L234846
R70181	P27	L241853
R61294	P33136	L161609
R59900	P33084	L145923
R46001	P25000	R46011
R26132	P15129	L51702
R64242	P33150	L196663
R26364	P15150	L52206
R56979	P31023	L120079
R31206	P32	R31177
R63563	P33135	L188836
R28202	P31	R28203
R54738	P29	L107057
R50673	P28	L92827
R43019	P22020	L81195
R62538	P33139	L176540
R58360	P2005	R58159
R59656	P33041	L143929
R59674	P33041	L144109
R61762	P33135	L167224
R59269	P33046	L140064
R64817	P2005	R63783
R6633	P27	L5063
R57246	P33014	L122627
R56602	P31023	L116619
R63448	P33135	L187456
R8340	compareContribution	R6136
R29488	P15239	R27125
R57276	P31023	L122908
R54867	compareContribution	R54787
R64835	P33145	L203753
R57383	P15068	L123901
R61993	P33137	L169998
R66359	P33143	L222039
R27318	P27	L54543
R63700	P33139	L190484
R31700	P15442	L63550
R6150	P29	L4212
R33673	P27	L70228
R58002	compareContribution	R57819
R23499	P27	L45846
R65407	P33150	L210622
R63960	P33142	L193271
R61536	P33136	L164513
R34630	P15671	L72931
R58386	P2005	R58159
R62521	P33137	L176334
R54417	P29012	L103906
R66033	P33143	L218127
R41079	P30	R133
R29192	P15329	R29110
R46431	P25055	R46432
R61712	P33134	L166623
R58488	P33042	L132250
R28185	P27	L56794
R27252	P15051	L54333
R38649	P17	R38688
R67001	P2005	R63783
R38552	P27	R10003
R31626	P27	L63226
R60936	P33138	L157315
R44744	P23140	R44745
R30846	P15387	R30824
R8153	P7017	L8108
R8409	HAS_IMPLEMENTATION	R8411
R50431	P29	L92520
R62139	P2005	R60165
R65419	P33144	L210760
R70538	P3005	L242380
R61964	P33138	L169651
R64902	P33150	L204562
R61979	P33139	L169832
R66088	P33144	L218788
R65192	P33150	L208042
R8737	HAS_ORCID	L8750
R67184	P33151	L231947
R66892	P33144	L228436
R53009	P31	R53010
R56483	P27030	L115561
R59191	P33048	L139286
R44453	P23116	L82550
R63263	P33136	L185237
R63257	P33129	L185158
R61189	P33133	L160346
R66396	P33149	L222489
R32880	P15548	L67828
R32694	P30	R11
R58443	P33046	L131804
R69146	P34051	R69120
R27349	P27	L54629
R64949	P33149	L205125
R32829	P15072	L67519
R63137	P33139	L183728
R55106	P31024	L109906
R64596	P33147	L200908
R62915	P33132	L181057
R67440	P33143	L235011
R50619	HAS_RESULTS	R50621
R60650	P33130	L153875
R60868	P2005	R60165
R60166	P4008	R60185
R63251	P33138	L185095
R63220	P33130	L184715
R9221	P27	L8953
R48409	TemplateComponentOccurrenceMin	L89802
R61534	P33137	L164490
R66558	P33143	L224427
R4645	P4063	L3378
R29775	P15340	L59984
R59571	P33044	L143082
R56674	P29	L117310
R61625	P33134	L165579
R32876	P15526	L67763
R48195	P18070	R48196
R32424	compareContribution	R32249
R26192	P27	L51863
R65243	P33145	L208649
R36138	P27	L76217
R30562	P32	R30548
R36139	P16034	L74557
R4372	P29	R4382
R67122	P33150	L231202
R60128	P33121	L147806
R58196	P33044	L129332
R45056	P24012	R45059
R52323	HAS_METHOD	R50812
R64223	P33149	L196434
R61621	P33139	L165536
R57160	P27030	R49277
R36146	P31	R36147
R54872	TemplateComponentOccurrenceMax	L108320
R61641	P2005	R60165
R25269	P26	L46951
R62157	P33139	L171968
R59229	P33047	L139665
R25147	P4012	R25141
R58699	P33045	L134363
R57567	HAS_RESULTS	R50440
R60045	P33102	L147111
R61558	P33130	L164771
R62802	P2005	R60165
R61672	P33139	L166148
R61802	P33136	L167705
R28388	P29	L57170
R56907	P31	R56908
R63399	P33129	L186862
R66478	P33152	L223476
R55169	HAS_METHOD	R55175
R62428	P33139	L175220
R9507	P7218	R8275
R12239	P26	L12273
R65181	P33149	L207909
R34213	P27	L71841
R58476	P33043	L132131
R66015	P33142	L217910
R63918	P33148	L192773
R59599	P33048	L143366
R61568	P33129	L164890
R60384	P33135	L150688
R34751	P15687	L73571
R25898	P27	L50116
R57186	P30004	L122059
R70367	HAS_METHOD	R70376
R54346	P27	L103220
R53290	P28	L98359
R53438	TemplateComponentOrder	L99152
R44477	P29	L82692
R26130	P15129	L51685
R64401	P2005	R63783
R59014	P33046	L137514
R66524	P33151	L224027
R49450	HAS_ORCID	L90674
R50407	HAS_APPROACH	R50408
R54683	P9040	L106494
R30056	P15343	R30048
R64708	P33150	L202255
R59213	P33045	L139503
R67296	P33141	L233281
R63648	P33132	L189853
R32445	P15072	L66055
R44479	P29	L82704
R31718	P15438	L63806
R64774	P33147	L203044
R26272	P31	R26273
R63912	P2005	R63783
R58899	P2005	R58159
R62820	P33135	L179920
R61798	P33129	L167650
R60548	P33139	L152660
R56220	P30001	L113414
R61478	P33139	L163820
R67475	P33149	L235437
R52273	hasContent	L96436
R61136	P33135	L159712
R30228	P27	L60347
R66315	P33143	L221511
R27354	P31	R27355
R28135	P27	L56691
R58576	P33045	L133133
R56681	P9040	L117365
R25149	P27	L46456
R62442	P33129	L175378
R58247	P33048	L129846
R59664	P33047	L144015
R4007	P2005	R4004
R28598	P15286	L57977
R61551	P33131	L164688
R62487	P33136	L175925
R62033	P33134	L170475
R61729	P33139	L166832
R27701	P29	L55855
R59828	P33064	L145306
R61182	P33137	L160266
R29022	P4012	R29020
R57850	HAS_VENUE	R1012
R27892	P15072	L56179
R8318	P26	L8302
R49577	P31	R49579
R66231	P33146	L220506
R56356	P9040	L114524
R26436	P15023	L52470
R67099	P33142	L230918
R46071	P25007	L86024
R54867	compareContribution	R54714
R63139	P33134	L183747
R61694	P33135	L166408
R36091	P27	L74320
R25921	P27	L50260
R59444	P33046	L141814
R44958	P23162	L84264
R66430	P33145	L222893
R48315	P31	R48326
R58938	P33047	L136755
R27858	P15260	L56129
R30285	P32	R29367
R26801	P27	L53299
R25219	P27	L46648
R62719	P33135	L178708
R26110	P15134	L51532
R62994	P33130	L182003
R56880	P31005	L119192
R64220	P33148	L196397
R60794	P2005	R60165
R58632	P33050	L133698
R57770	HAS_VENUE	R1012
R57205	P31	R57206
R49554	TemplateComponentOccurrenceMin	L90833
R58388	P33043	L131251
R54071	P32001	L100585
R48342	P26002	R48343
R61657	P33135	L165964
R62774	P33139	L179372
R28097	P29	L56569
R27897	P15259	R27866
R63757	P33131	L191160
R12120	P9012	R12123
R58994	P2005	R58159
R32892	P15537	L68043
R64735	P33145	L202574
R64986	P33143	L205563
R61939	P33136	L169349
R55152	P27	R55242
R57622	P30001	L124617
R56958	P31023	L119874
R29676	P28	L59916
R70031	P18061	R69958
R57103	P30	R50
R59342	P33042	L140790
R67368	P33148	L234152
R59483	P33050	L142208
R59293	P33049	L140307
R65804	P33141	L215377
R57771	P31005	L126262
R69192	P29	L239345
R58550	P33042	L132870
R66434	P33144	L222940
R33041	P29	L69283
R62120	P2005	R60165
R65737	P33151	L214583
R64269	P33146	L196983
R65358	P33148	L210032
R63629	P33131	L189624
R27399	P15210	L54899
R63210	P33134	L184599
R29652	P28	L59910
R56886	P31024	L119245
R63483	P33137	L187878
R56548	P27030	L116109
R69913	HAS_ORCID	L241474
R26483	P30	R11
R38438	P27	R58117
R64376	P33148	L198269
R62989	P33139	L181952
R61442	P33130	L163379
R67042	P33146	L230238
R59303	P33048	L140406
R31860	P15472	L64505
R65900	P33145	L216533
R61977	P33136	L169805
R55020	P30001	L109095
R9551	P28	L9288
R32900	P15546	L68171
R30071	P15344	R29701
R9550	P7228	R8311
R56889	P28	L119272
R34211	P15239	R34209
R44690	P23152	R44687
R65075	P33145	L206633
R62005	P33132	L170137
R53407	compareContribution	R53406
R56966	P30002	L119949
R25461	P26	L47655
R38484	compareContribution	R23313
R58793	P2005	R58159
R54568	P32119	L105344
R54785	P32119	L107502
R56555	P28	L116178
R57782	P31005	L126379
R59989	P33090	L146739
R27881	P15259	R27866
R65448	P33148	L211112
R28581	P15283	R12270
R57396	P32	R57102
R59493	P33043	L142301
R39031	P18093	L76933
R61725	P33137	L166782
R46220	P25021	L86739
R60824	P33132	L155965
R27044	P15106	L53862
R64159	P33147	L195664
R38962	P18093	L76762
R53135	HAS_RESULTS	R53019
R60992	P33133	L157982
R58200	P33043	L129371
R65618	P33147	L213151
R69291	HAS_VENUE	R69367
R30817	compareContribution	R30742
R26362	P32	R26155
R62461	P33139	L175616
R62217	P33132	L172681
R27556	P29	L55416
R68538	compareContribution	R68323
R65713	P33151	L214295
R60914	P33138	L157051
R54229	P32001	L102126
R68539	Image	L238649
R54867	compareContribution	R54780
R66543	P33142	L224246
R62448	P33139	L175460
R29138	P15329	R29110
R9523	P7216	L9178
R57843	P27	L127048
R62255	P33130	L173135
R31	P36	R32
R32011	P15494	L65286
R31969	P32	R31811
R63301	P33130	L185687
R54994	HAS_VENUE	R1012
R64018	P33141	L193966
R50672	contains	R50663
R64484	P33144	L199561
R66781	P33152	L227112
R48084	TemplateComponentOccurrenceMax	L89151
R64837	P33151	L203783
R66696	P2005	R63783
R61071	P33139	L158936
R63774	P33131	L191364
R27392	P15212	L54844
R58379	P2005	R58159
R34626	P15672	L72890
R32446	P26	L241224
R50778	HAS_METHOD	R50780
R53364	P30004	L98830
R32287	P15505	L65871
R31684	P15429	L63366
R59375	P33044	L141122
R60132	P33120	L147865
R54501	P9040	L104703
R29544	P15343	R29540
R60823	P33130	L155951
R66083	P33144	L218728
R56719	P33009	L117714
R26938	P28	L53629
R64565	P2005	R63783
R28191	compareContribution	R28174
R61183	P33134	L160275
R61228	P33129	L160810
R56647	P15068	L117059
R61344	P33138	L162211
R25696	P5026	L48691
R66615	P33142	L225110
R30230	P30	R11
R53253	P30002	L98119
R54474	P15068	L104455
R54188	P26	L101719
R26920	METHOD	R26776
R30792	P29	L61932
R61037	P33138	L158527
R60078	P5103	L147484
R44437	P23114	L82424
R58989	P33043	L137261
R67313	P33143	L233487
R12204	P29	L12084
R59186	P33049	L139237
R50517	P30	R69
R41530	P20161	R41532
R66808	P33145	L227429
R64734	P33145	L202562
R26265	P31	R26266
R66144	P33148	L219464
R25896	P27	L50098
R26036	P15116	L51046
R63203	P33137	L184518
R66228	P33145	L220469
R60838	P33139	L156140
R59504	P33047	L142415
R59551	P33049	L142887
R54502	P31	R54503
R33729	P28	L70529
R52101	P30003	L95816
R33760	P32	R33634
R4831	HAS_METHOD	R4835
R41006	P20005	L79021
R66184	P33142	L219938
R29360	P15334	L59660
R65909	P33148	L216644
R65355	P33146	L209994
R57661	P33038	L125046
R34463	P4017	R34457
R5039	P29	R5044
R57820	P31	R57821
R60441	P33130	L151367
R44387	HAS_METHOD	R44388
R26492	P26	L240279
R50463	hasContent	L92538
R63519	P33138	L188311
R53199	P30002	L97601
R60507	P33140	L152169
R63527	P33132	L188401
R61294	P33129	L161602
R54240	P32002	L102237
R65031	P33149	L206109
R62905	P33137	L180942
R59274	P33048	L140116
R27373	P15208	L54705
R57591	P15068	L124318
R59166	P33047	L139035
R38649	P17	R38684
R57814	P27	L126730
R57098	P15068	L121249
R65953	P2005	R63783
R6172	P30	R135
R69517	HAS_METHOD	R50394
R55219	compareContribution	R55054
R56983	P33012	L120121
R65434	P33151	L210947
R8379	P29	L8515
R64244	P33144	L196681
R57681	P30002	L125274
R59579	P33044	L143162
R69331	P29	L239755
R27706	P29	L55874
R63136	P33134	L183711
R31728	P15459	L63911
R27659	P30	R11
R56523	P33010	L115892
R67100	P33150	L230938
R57756	P33036	L126102
R64121	P33142	L195203
R65645	P33147	L213475
R58275	P33042	L130120
R28098	P15259	R27866
R26053	P27	L51211
R48308	P7004	L89483
R31673	P32	R25028
R69260	P34062	L239586
R67302	P33143	L233355
R65331	P33152	L209712
R64549	P33142	L200339
R32457	P31	R32458
R66757	P33149	L226821
R50165	hasContent	L92245
R52113	P32	R52145
R27422	P15229	L55016
R62145	P33132	L171817
R27976	P15259	R27973
R64058	P33149	L194454
R28569	P29	L57697
R61618	P33135	L165496
R58289	P33046	L130264
R58620	P2005	R58159
R65290	P33142	L209210
R61878	P33134	L168615
R27238	P31	R27247
R67275	P33141	L233029
R62683	P33131	L178272
R54867	compareContribution	R54592
R54638	P28	L106053
R65691	P33152	L214032
R57068	P15068	L120948
R12090	P9011	R12093
R27638	P27	L55666
R30439	P27	L60542
R66665	P33151	L225719
R66375	P33141	L222229
R62239	P2005	R60165
R70437	TemplateComponentOccurrenceMax	L242111
R25066	P31	R25067
R68374	P32	R68532
R64388	P33141	L198406
R67101	P33149	L230949
R56771	P27030	L118189
R29196	P31	R29197
R55149	P30002	L110291
R60913	P33134	L157035
R8149	P2005	R8140
R66245	P33148	L220676
R66128	P33145	L219269
R59599	P33043	L143361
R38922	P31	R38964
R30333	P15344	R30321
R67016	P33142	L229922
R58204	P33041	L129409
R61387	P33136	L162725
R62111	P33134	L171411
R54066	P27	L100541
R62482	P33136	L175865
R29105	P4012	R29020
R62610	P33138	L177403
R30479	P15349	L60620
R66088	P33145	L218789
R66739	P33144	L226600
R65226	P33141	L208441
R34944	P31	R34946
R32871	compareContribution	R32738
R32362	P15510	R1001
R30398	P15342	R29363
R52205	TemplateComponentOccurrenceMin	L96299
R64835	P33143	L203751
R64959	P33150	L205246
R13	P36	R15
R58686	P33048	L134236
R33839	P27	L70924
R62311	P33137	L173814
R65661	P2005	R63783
R27137	P15190	L54005
R65546	P33152	L212292
R65595	P33152	L212880
R59578	P33050	L143158
R50392	P29	L92467
R54295	P31005	L102735
R55097	P31	R55098
R57640	P27030	R49275
R67474	P33142	L235418
R57223	P29	L122402
R44910	P27	R44913
R58320	P33050	L130578
R6353	P27	L4494
R57195	HAS_VENUE	R1012
R52143	compareContribution	R52127
R66259	P33148	L220844
R25964	P32	R25962
R27455	P30	R11
R32923	P15569	L68528
R33844	P27	L70935
R60207	P33133	L148562
R60609	P33129	L153382
R56775	P30004	L118232
R65758	P33149	L214833
R54811	P32119	L107764
R65247	P33147	L208699
R44723	P23152	R44721
R68714	P26	L238893
R31320	P27	L62820
R33281	P15591	R33272
R60026	P33113	L146894
R25925	P31	R25926
R64586	P33149	L200790
R65170	P33147	L207775
R29229	P27	L59387
R63144	P33129	L183802
R26004	P15104	L50753
R64844	P2005	R63783
R58601	P33049	L133387
R58663	P33047	L134005
R65557	P33141	L212413
R69955	P18060	R69949
R58292	P33043	L130291
R63161	P33139	L184016
R54241	P30	R50
R64302	P33150	L197383
R60532	P33132	L152461
R66395	P33149	L222477
R38996	P18094	L76841
R63602	P33130	L189299
R67352	P33146	L233958
R6403	P5020	R6194
R59875	P33083	L145547
R59413	P33045	L141503
R44483	P29	L82730
R57812	P33038	L126704
R69260	P18075	L239590
R27207	P15188	R27142
R29348	P15238	R29315
R69605	P34083	L240677
R66333	P33149	L221733
R31261	P33	R31258
R66561	P33150	L224470
R25758	P29	L49059
R66779	P33150	L227086
R66062	P33151	L218483
R66906	P33143	L228603
R68374	P34017	R68336
R54311	P32	R54245
R33024	P27	L69162
R41026	P26	L79114
R36139	P9041	L74560
R54884	P26	L108352
R61824	P33140	L167973
R54786	P28	L107516
R59972	P33093	L146538
R61766	P33138	L167275
R62567	P33133	L176882
R69467	HAS_VENUE	R68980
R64413	P33147	L198712
R65100	P33145	L206933
R27151	P31	R27152
R61919	P33133	L169106
R69179	P34040	R69151
R64783	P33143	L203148
R58378	P33043	L131151
R65305	P33150	L209398
R54114	P29	L101008
R50690	P27	L92837
R27603	P15242	L55561
R65665	P33148	L213716
R59023	P33049	L137607
R63246	P33130	L185027
R69738	P27	L241022
R68282	P31	R68283
R60032	P33113	L146966
R70544	P3004	L242417
R29587	P29	L59858
R62971	P33130	L181727
R27426	P15126	L55042
R62740	P33136	L178961
R62241	P33133	L172970
R31189	P15401	L62516
R63913	P33147	L192712
R8707	P27	L237168
R60571	P33132	L152929
R62548	P33140	L176661
R8966	P18	R8967
R64972	P33146	L205398
R59603	P33048	L143406
R34481	P31	R34482
R60625	P33138	L153583
R44967	P15249	L84330
R58723	P33047	L134605
R56473	P33008	L115478
R64345	P33151	L197900
R25244	P9024	L46823
R32481	P15515	L66166
R61455	P33138	L163543
R58203	P2005	R58159
R63290	P33130	L185555
R33632	P15598	R33620
R62966	P33134	L181671
R60494	P33131	L152004
R54341	P32117	L103167
R54870	TemplateComponentOrder	L108315
R25837	P15087	L49685
R67070	P33141	L230569
R59075	P33049	L138127
R4010	P4002	L3075
R55151	P30002	L110312
R62461	P33136	L175613
R61605	P33138	L165343
R38510	P34062	L239443
R65034	P33149	L206145
R65934	P33142	L216938
R63378	P2005	R60165
R60477	P33140	L151809
R46545	P32	R46491
R33462	P15592	R33458
R61238	P33131	L160932
R30869	P15387	R30824
R57131	P28	L121534
R59903	P33085	L145969
R61909	P33130	L168983
R62233	P33137	L172878
R31698	P15441	L63522
R62565	P33135	L176860
R56898	P32	R56530
R57813	P15068	L126718
R56873	HAS_VENUE	R1012
R58618	P33045	L133553
R63147	P33139	L183848
R58348	P33050	L130858
R60353	P2005	R60165
R64070	P33150	L194599
R62478	P33136	L175817
R66876	P33149	L228249
R56083	P31005	L112297
R63501	P33135	L188092
R61261	P33130	L161207
R60600	P33132	L153277
R66607	P33146	L225018
R64138	P33150	L195415
R28189	P30	R11
R65426	P33144	L210844
R41055	HAS_RESULTS	R41059
R61374	P33137	L162570
R63446	P33140	L187437
R44637	P27	L83322
R65223	P33152	L208416
R32325	P15510	R32322
R56934	P30002	L119679
R63895	P33147	L192496
R57292	HAS_VENUE	R1012
R62124	P33132	L171565
R32824	P15524	R32728
R11016	HAS_VENUE	R11017
R59009	P33044	L137462
R62197	P33131	L172440
R58356	P33048	L130936
R57754	P9040	L126081
R27163	P27	L54062
R44488	P23117	L82750
R64266	P2005	R63783
R60975	P33132	L157777
R34297	P15239	R34295
R66739	P33149	L226605
R63085	P33132	L183097
R30423	P15343	R9244
R46952	HAS_VALUE	R46960
R8290	P7040	L8252
R69607	P30	R133
R25865	P27	L49877
R23498	P7159	L45838
R55337	TemplateComponentOrder	L111703
R44705	P23160	L83552
R63157	P33132	L183961
R67235	P33147	L232555
R69366	HAS_ORCID	L239801
R64176	P33141	L195862
R41124	P27	L79613
R27146	P27	L54018
R9273	P7180	R9424
R32727	P15072	L67085
R45023	P15411	L85030
R67065	P33148	L230516
R66639	P33141	L225397
R60206	P2005	R60165
R66634	P33146	L225342
R25910	P29	L50192
R62762	P2005	R60165
R54382	P30	R50
R30140	P15345	R30137
R66733	P33152	L226536
R64127	P2005	R63783
R32591	P26	L66506
R4985	HAS_METHOD	R4965
R59125	P33050	L138628
R66426	P33149	L222849
R54608	P31024	L105748
R66482	P33142	L223514
R62568	P33132	L176893
R34446	P31	R34447
R66419	P33144	L222760
R23332	P7120	L45186
R63191	P2005	R60165
R66899	P33147	L228523
R65046	P33152	L206292
R4383	P1005	L3182
R48257	P27	L89341
R62595	P33129	L177214
R58285	P33044	L130222
R63776	P33137	L191394
R64273	P33141	L197026
R61764	P33138	L167251
R57709	P31024	L125585
R61123	P2005	R60165
R56222	P30002	L113431
R63428	P33136	L187217
R62826	P33133	L179990
R65428	P33146	L210870
R27501	P15238	L55280
R56842	P33009	L118837
R58502	P33045	L132393
R70255	TemplateComponentOrder	L241901
R52110	P29012	L95883
R54437	P30004	L104100
R58936	P33046	L136734
R61362	P33140	L162429
R65034	P33143	L206139
R62653	P2005	R60165
R62878	P33131	L180612
R32654	P15522	L66767
