P1	yields
P7092	Operates in
P7093	lower than
P7082	Implemented as
P7098	has participants characteristic
P7099	has data
P7100	has evidence
P7137	Has horizontal resolution
P7138	Artificial island
P7139	Finite differences
P7140	Arakawa B-grid
P7083	Analyses of
P7084	Observed in
P7085	has observations
P7086	includes
P7087	has disposition
P7088	At time period
P7089	has cause
P7090	replaced by
P7091	Includes analysis of
P7094	applied to
P7095	produces
P7096	confirmed by
P7097	revealed by
P7102	has reference
P7103	method applied to
P7109	Process
P7108	realizes
P7101	has elements
P7121	Model Family
P7105	method applied to collagen fiber yields staining result
P7106	method applied to filament yields staining result
P7107	method applied to unit membranes yields staining result
P7120	Has Prognostic Variable
P7146	has species
P7104	method applied to elastin yields staining result
P7112	has version
P7119	Scheme method
P7110	Global Climate Model
P7111	has name
P7118	tripolar grid
P7114	has documentation
P7115	Has Horizontal Discretization
P7116	River Routing
P7127	The Northern Hemisphere geographical distribution of sea ice (1979-1998) is generally well simulated, particularly in winter
P7128	The total Arctic sea ice extent is underestimated from August to November in CNRM-CM5.1 due to a significant underestimation of sea ice off Alaska and over the eastern part of the Siberian basin
P7131	Total Arctic sea ice extent
P7117	Pole Treatment
P7135	has horizontal resolution
P7125	Global Annual Mean Surface salinity differences (1960–1999): -0.54 psu, rms=0.83 psu
P7129	The simulated Antarctic sea ice extent is underestimated by 1.6 x 10^6 km^2 in September
P7130	Simulated Antarctic sea ice extent
P7123	drift of sea level height
P7124	realistic energy budget
P7126	Global Annual Mean Surface salinity differences (1960–1999): -0.54 psu, rms=0.83 psu
P7122	has spatial resolution
P7132	Sea ice off Alaska
P7133	Sea ice over the eastern part of the Siberian Basin
P7134	cytoplasm
P7136	Coupling With Atmosphere
P7142	spectral
P7143	Centered finite differences
P7141	FTW
P7144	Earth System Model
P7145	Carbon Cycle
P7147	sequencing platform
P7148	reads per run
P7149	read length in base pairs (paired-end*)
P7150	reads per run in Million
P7151	runtime in days
P7153	data output rate in Gigabyte per day
P7156	cost of resequencing a human genome with 30X coverage in $
P7190	RMSE of global mean surface air temperature against ERA-Interim reanalysis
P7154	reagents cost in $
P7157	cost of machine in $
P7152	total data output yield in Gigabyte
P7155	cost per Gigabyte data output in $
P7159	Basic Approximations
P7158	Has scheme
P7160	Fixed grid
P7161	Centered finite differences
P7162	Fixed grid
P7163	major ice sheets
P7164	static ice
P7165	Minor ice caps
P7166	The horizontal discretisation is on an orthogonal curvilinear grid nominally one degree for both longitude and latitude. refinements: (1) a tripolar grid north of 65°N ; (2) a cosine dependent (Mercator) grid  south of 30°S; (3) a refinement of latitudinal spacing to 1/3°  between 10°S and 10°N
P7168	even coverage
P7169	well resolved
P7170	not stained
P7167	has application
P15012	Tested various designs
P15020	OfflineDatabase
P7171	poorly resolved
P15023	Advantages
P15024	Disadvantages
P7172	Oki T., and Y.C. Sud (1998) Design of the Total Runoff Integrating Pathways [TRIP] - A global river channel network.. Earth Interactions, 2.       Add to Favorites Track Citation Download Citation Email   https://doi.org/10.1175/1087-3562(1998)002<0001:DOTRIP>2.3.CO;2
P7173	Cold deep snow albedo
P7174	Bare ice albedo
P7175	Melting deep snow albedo
P7176	The horizontal discretisation is on an orthogonal curvilinear grid nominally one degree for both longitude and latitude. It has the following refinements: (1) a tripolar grid (Murray 1996) is used north of 65°N to preclude a singularity at the geographical north pole; (2) a cosine dependent (Mercator) grid is used south of 30°S to avoid large grid cell aspect ratios and also to better resolve zonal currents in the Southern Ocean and at the Antarctic margin; and, (3) a refinement of latitudinal spacing to 1/3° is applied between 10°S and 10°N to better resolve predominantly zonal equatorial ocean currents.
P7177	The horizontal discretisation is on an orthogonal curvilinear grid nominally one degree for both longitude and latitude. It has the following refinements: (1) a tripolar grid (Murray 1996) is used north of 65°N to preclude a singularity at the geographical north pole; (2) a cosine dependent (Mercator) grid is used south of 30°S to avoid large grid cell aspect ratios and also to better resolve zonal currents in the Southern Ocean and at the Antarctic margin; and, (3) a refinement of latitudinal spacing to 1/3° is applied between 10°S and 10°N to better resolve predominantly zonal equatorial ocean currents.
P7178	Vertical Physics
P7179	Critical Richardson number
P7180	Radiation scheme
P7184	Surface Air Temperature
P7185	0.04 °C
P7186	0.35 °C
P7187	bias of global mean surface air temperature
P7188	RMSE of global mean surface air temperature
P7181	Edwards, J.M. and A. Slingo (1996) Studies with a flexible new radiation code. I: choosing a configuration for a large-scale model Q. J. R. Meteorol. Soc., 122, 689-720
P7182	Edwards, J.M. and A. Slingo (1996) Studies with a flexible new radiation code. I: choosing a configuration for a large-scale model Q. J. R. Meteorol. Soc., 122, 689-720
P7183	Tripleclouds scheme
P7189	Bias of global mean surface air temperature against ERA-Interim reanalysis
P15021	Classifier
P7191	Bias of mean surface temperature over northern hemisphere land against ERA-Interim reanalysis:
P7192	Bias of mean surface temperature over high latitudes Southern Ocean (>60°)  against ERA-Interim reanalysis
P7193	Bias of mean surface temperature over high latitudes Southern Ocean (>60°) against ERA-Interim reanalysis
P7194	Bias of global mean precipitation against GPCP climatology
P7195	Cloud scheme
P7200	sea-ice volume trend
P7201	Sea-ice volume trend in the northern hemisphere
P7202	Sea-ice volume trend in the southern hemisphere
P7203	Sea-ice volume trend in the northern hemisphere
P7204	Trend of SST
P7205	Bias of global mean SST
P7196	Bias of northern hemisphere (0°-60°N) annual mean cloud amount against the D2 ISCCP observations
P7197	Bias of northern hemisphere (0°-60°N) annual mean cloud amount against the D2 ISCCP observations
P7198	Bias of southern hemisphere (60°S-0°) annual mean cloud amount against the D2 ISCCP observations
P7199	Bias of southern hemisphere (60°S-0°) annual mean cloud amount against the D2 ISCCP observations
P7208	Scheme Type
P7206	Bias of global mean SSS against the WOA2009 data
P15011	Interview, Survey or Brainstorming
P7207	Dynamical Core
P7209	1.4°
P7211	Ontology
P7212	Full name
P7213	Example class
P7214	Description
P7215	Class count
P7216	Object property count
P7217	Data property count
P7218	Uses ontology
P7210	Solution
P7221	Ontology
P7222	Full name
P7223	Example class
P7224	Description
P7225	Class count
P7226	Object property count
P7227	Data property count
P7228	Uses ontology
P7229	IRI
P7219	IRI
P7220	Website
P7230	Website
P15019	FeatureExtraction
SAME_AS	same as
HAS_VENUE	Has venue
reference	reference
P8006	1.4 °
TemplateSub	Template sub-template
P15022	Algorithm name
P8000	applies
P8001	proposes
P8002	are based on
P8003	are defined by
P8004	extracts
P8005	scales up
TemplateOfResearchField	Template of research field
TemplateOfPredicate	Template of predicate
TemplateOfClass	Template of class
P9003	value specification
P9004	specified numeric value
P28000	Radiant energy input
P9000	has study design dependent variable
P9001	has dataset
TemplateSubTemplate	Template sub-template
TemplateOfResearchProblem	Template of research problem
TemplateComponent	Template component
TemplateComponentProperty	Template component property
TemplateComponentValue	Template component value
P9002	has p-value
P9005	study design dependent variable
P9006	p-value
P9008	Modality
P9007	CPLEX
P9009	Pretrained model
P9010	Clustering method
P9011	mean Average Precision
P15025	Lexicon
P9013	R@1
P9014	Image-to-Text Retrieval
P9015	Text-to-Image Retrieval
P9012	image to text retrieval
P9022	electrolyte
P9016	R@10
P9017	Median Rank
P9021	Visual
P9018	Has model
P9019	Has heuristic
P9020	Has exact solution method
P9023	has instance
P9024	Source
P9025	has system specification
P9026	has performance
P9027	Has experimental datasets
P9028	has evaluation score
P9031	Has experimental datasets
P9032	has evaluation score
P9029	Has experimental datasets
P9030	has evaluation score
P9057	has age
P9058	has gender
P9059	has illness
P9060	date of illness onset
P9061	date of hospital admission
P9033	Has experimental datasets
P9034	has evaluation score
P9040	Study date
P9041	Methods
P9042	Approaches
P9035	Has experimental datasets
P9036	has evaluation score
P9037	Has experimental datasets
P9038	has evaluation score
P9039	Notes
P9043	R0 estimates (average)
P9044	95% Confidence interval
P9045	R0 estimates (average)
P9046	R0 estimates (average)
P9047	R0 estimates (average)
P9048	R0 estimates (average)
P9049	R0 estimates (average)
P9050	R0 estimates (average)
P9051	R0 estimates (average)
P9052	R0 estimates (average)
P9053	R0 estimates (average)
P9054	R0 estimates (average)
P9055	R0 estimates (average)
P9056	R0 estimates (average)
P9062	has symptom
P9063	receives therapy
P9064	has drug
P9065	has technique
P9066	RNeasy Plus Universal Mini kit
P9067	Qiagen
P9068	has body temperature
P9069	has date
P9070	has instrument
P15014	Used prototypes for early feedback
P15015	Tested usability or user eTperience
P15016	Tested driving performance
P15017	Implemented as display mock-up
P9071	Material
P9072	Data
P34000	Relevant data
P33129	R60168
P33130	R60170
P33075	R59833
P33076	R59835
P33077	R59837
P33041	R58162
P33042	R58164
P33043	R58166
P33044	R58168
P33045	R58170
P33046	R58172
P33047	R58174
P33048	R58176
P33049	R58178
P33050	R58180
P34103	Has benchmark
P34100	on research field
P34101	analysis aspect
P33028	has_doi
P33029	has_venue
P33031	HAS_RESULTS
P33032	HAS_RESULTS
P33033	HAS_RESULTS
P33034	HAS_RESULTS
P33035	HAS_RESULTS
P33036	Sub-hypothesis
P33037	Which species are compared?
P33038	Indicator for enemy release
P33039	Release of which kind of enemies?
P34104	Has lower limit for 95% onfidence interval
P34105	Has lower limit for 95% onfidence interval
P34106	Has lower limit for 95% onfidence interval
P34116	AUROC
P34117	AUCPR
P33014	Measure of native biodiversity
P34102	Has Kaggle Competition
P33012	Transition in the invasion process
P33013	Observed proportion of species making the transition
hasVisualization	Has visualization
P33000	"Format"
P33001	Format
P34107	Has upper limit for 95% onfidence interval
P34109	Has lower limit for 95% confidence interval
P33004	References
P33005	P32
P33006	Measure of resistance/susceptibility
P33007	P32
P33008	Type of interaction
P33009	Type of effect description
P33010	Ecological Level of evidence
P33011	Outcome of interaction
P32124	Has ECS result
P34099	Has information processing paradigm
P33002	Features/improvement
P33003	Total Metadata entries
P34098	about species
P15007	Conducted by
P15008	Criteria defined by
P15009	Intended audience
P15010	Intended use
P20071	Introduce
P20072	model
P34123	R^2
P20073	is
P20074	use
P20075	mask
P20076	replacing
P20077	replacement
P20078	involves
P20079	remove
P20080	sample
P20081	evaluate-on
P20082	follow
P20083	consists
P20084	Two sentence-level classification tasks
P32109	Phenotypic plasticity form
P32110	Phenotypic plasticity form
P32111	Phenotypic plasticity form
P32112	Phenotypic plasticity form
P32113	Phenotypic plasticity form
P32114	Phenotypic plasticity form
P32115	Phenotypic plasticity form
P32116	Phenotypic plasticity form
P32119	Direct anthropogenic dist.?
P32064	Phenotypic plasticity form
P32065	Phenotypic plasticity form
P32066	Phenotypic plasticity form
P32067	Phenotypic plasticity form
P32068	Phenotypic plasticity form
P32069	Phenotypic plasticity form
P32070	Phenotypic plasticity form
P32071	Phenotypic plasticity form
P32072	Phenotypic plasticity form
P32073	Phenotypic plasticity form
P32074	Phenotypic plasticity form
P32075	Phenotypic plasticity form
P32076	Phenotypic plasticity form
P32077	Phenotypic plasticity form
P32078	Phenotypic plasticity form
P32079	Phenotypic plasticity form
P32080	Phenotypic plasticity form
P32081	Phenotypic plasticity form
P32082	Phenotypic plasticity form
P32083	Phenotypic plasticity form
P32084	Phenotypic plasticity form
P32085	Phenotypic plasticity form
P32086	Phenotypic plasticity form
P32087	Phenotypic plasticity form
P32088	Phenotypic plasticity form
P32089	Phenotypic plasticity form
P32090	Phenotypic plasticity form
P32091	Phenotypic plasticity form
P32092	Phenotypic plasticity form
P32093	Phenotypic plasticity form
P32094	Phenotypic plasticity form
P32095	Phenotypic plasticity form
P32096	Phenotypic plasticity form
P32097	Phenotypic plasticity form
P32098	Phenotypic plasticity form
P32099	Phenotypic plasticity form
P32100	Phenotypic plasticity form
P32101	Phenotypic plasticity form
P32102	Phenotypic plasticity form
P32103	Phenotypic plasticity form
P32104	Phenotypic plasticity form
P32105	Phenotypic plasticity form
P32106	Phenotypic plasticity form
P32107	Phenotypic plasticity form
P32108	Phenotypic plasticity form
P32019	Phenotypic plasticity form
P32020	Phenotypic plasticity form
P32021	Phenotypic plasticity form
P32022	Phenotypic plasticity form
P32023	Phenotypic plasticity form
P32024	Phenotypic plasticity form
P32025	Phenotypic plasticity form
P32026	Phenotypic plasticity form
P32027	Phenotypic plasticity form
P32028	Phenotypic plasticity form
P32029	Phenotypic plasticity form
P32030	Phenotypic plasticity form
P32031	Phenotypic plasticity form
P32032	Phenotypic plasticity form
P32033	Phenotypic plasticity form
P32034	Phenotypic plasticity form
P32035	Phenotypic plasticity form
P32036	Phenotypic plasticity form
P32037	Phenotypic plasticity form
P32038	Phenotypic plasticity form
P32039	Phenotypic plasticity form
P32040	Phenotypic plasticity form
P32041	Phenotypic plasticity form
P32042	Phenotypic plasticity form
P32043	Phenotypic plasticity form
P32044	Phenotypic plasticity form
P32045	Phenotypic plasticity form
P32046	Phenotypic plasticity form
P32047	Phenotypic plasticity form
P32048	Phenotypic plasticity form
P32054	Phenotypic plasticity form
P32061	Phenotypic plasticity form
P32049	Phenotypic plasticity form
P32050	Phenotypic plasticity form
P32051	Phenotypic plasticity form
P32052	Phenotypic plasticity form
P32053	Phenotypic plasticity form
P32055	Phenotypic plasticity form
P32056	Phenotypic plasticity form
P32057	Phenotypic plasticity form
P32058	Phenotypic plasticity form
P32059	Phenotypic plasticity form
P32060	Phenotypic plasticity form
P32062	Phenotypic plasticity form
P32063	Phenotypic plasticity form
P34118	PPV
P34120	Goodness of fit: Loss
P34121	Chi-Square
P34122	NDCG
P32000	Phenotypic plasticity form
P32001	Specific traits
P32002	Species name
P32003	Phenotypic plasticity form
P32004	Phenotypic plasticity form
P32005	Phenotypic plasticity form
P32006	Phenotypic plasticity form
P32007	Phenotypic plasticity form
P32008	Phenotypic plasticity form
P32009	Phenotypic plasticity form
P32010	Phenotypic plasticity form
P32011	Phenotypic plasticity form
P32012	Phenotypic plasticity form
P32013	Phenotypic plasticity form
P32014	Phenotypic plasticity form
P32015	Phenotypic plasticity form
P32016	Phenotypic plasticity form
P32017	Phenotypic plasticity form
P32018	Phenotypic plasticity form
P31017	Non-plant species
P31018	Non-plant species
P31019	Non-plant species
P31020	Non-plant species
P31021	Non-plant species
P31022	Non-plant species
P31023	Investigated species
P31024	Number of species
P34113	Performance:Specificity
P34114	Performance:NPV
P31007	Non-plant species
P31008	Non-plant species
P31009	Non-plant species
P31010	Non-plant species
P31011	Non-plant species
P31012	Non-plant species
P31013	Non-plant species
P31014	Non-plant species
P31015	Non-plant species
P31016	Non-plant species
P30006	Has participating device
P30007	Has participating person
P30008	Has gaseous sample input
P30009	Has solution sample input
P30010	Has solid sample input
P30011	Has radiant energy input
P30012	Has output
P30013	Has component type
P30014	Has specified volume
P30015	Has specified mass
P30016	pH
P30019	Wavelength of maximum absorption
P30020	Duration of absorption process
P30021	Half time for charge recombination (t1/2)
P30023	Related Comparisons
P33141	R63786
P33142	R63788
P30024	has params
P30025	uses pipeline
P31000	appraoch
P34057	Konzepte der Jugendarbeit
P34060	Number of concepts
P34061	Text coverage
P34058	Doppeltes Mandat der Jugendarbeit
P34108	Material
P29012	Measure of invasion success
P29010	stand
P33025	has_method
P33026	has_value
P33027	has_venue
P33022	The size of data that is being considered for processing is probably the most important factor. If the data can fit into the system memory, then clusters are usually not required and the entire data can be processed on a single machine. The platforms such as GPU, Multicore CPUs etc. can be used to speed up the data processing in this case. If the data does not fit into the system memory, then one has to look at other cluster options such as Hadoop, Spark etc. Again, Hadoop and Spark clusters can handle large amount of data but Hadoop has well developed tools and frameworks although it is slower for iterative tasks. The user has to decide if he needs to use off-the-shelf tools which are available for Hadoop or if he wants to optimize the cluster performance in which case Spark is more appropriate
P33023	testun
P33024	Relevance
P33063	R59759
P33064	R59761
P33065	R59763
P33066	R59765
P33155	Data size supported
P29015	deleted
P29016	R51465
P29017	R51467
P29018	R51469
P29019	R51471
P29020	R51473
P29021	R51475
P29022	R51477
P29023	R51479
P29024	R51481
P33040	paper:DOI
P29034	R51509
P29035	R51511
P29036	R51513
P29037	R51515
P29026	R51491
P29027	R51493
P29028	R51495
P29029	R51497
P29030	R51499
P29031	R51501
P29032	R51503
P29033	R51505
P29038	R51517
P29039	R51519
P29040	R51521
P29041	R51523
P29042	R51527
P29043	R51529
P29044	R51531
P29045	R51533
P29046	R51535
P29047	R51537
P29048	R51539
P29049	R51541
P30005	Produced by
P33015	New data sources
P33017	Data Access
P34014	has_host
P34017	state of host plant tissue at moment of consumption
contains	contains
P15000	has patient
P15001	related to
P18091	Compares
P15002	has GenBank accession number
P15013	Implemented into car mock-up
P15035	Ontologies
P15036	Inputs/Outputs
P15037	Pre/Post-conditions
P15038	Protocols
P15039	QoS
P15040	Specification Languages
P15041	Matching Result Degrees
P15042	Incomplete Knowledge
P15043	Variational Scope
P15044	Heuristics & Simplif.
P15045	Calculation Concepts
P15046	Nature of Traceability
P15047	Automation
P15048	Tool-Support
P15049	Year ofDevelopment
P15050	Area of use
P15051	Objective
P15052	Accuracy/Results
P15053	Future work/challenges
P15054	Artefacts
P15055	Mechanisms providing feedback
P15056	Information sources
P15057	Benefits
P15058	Types of feedback
P15059	Category
P15060	Highlights
P15061	Technology Bases
P15062	Game Genres
P15063	Major Contributions
P15296	Has vocabulary
P15297	Gramatically augmented ontology The results were quite promising, as the ontology contributed to improvements in the analysis of signs and in the generation of Ukrainian natural language
P15064	esearchMethod
P15065	AgileMethod
P15066	Focus
P15067	Publication type
P15068	Research Method
P15069	# of Subjects
P15070	Studied Picking System
P15071	System
P15072	Year
P15073	Vis. Types
P15074	Recomm.
P15075	Incr.
P15076	App. Type
P15077	File Size
P15078	Avg. size of transactions
P15079	Avg. size of itemsets
P15080	Threshold
P15081	Time(sec)
P15082	Memory Usage
P15083	catalysts
P15084	feedgas composition
P15085	T (°C)
P15086	P (MPa)
P15087	conv (%)
P15088	selectivity (%)
P15089	SV (ml·g −1·h−1cat)
P15090	substrate
P15091	catalyst
P15092	Analyte
P15093	Application
P15094	Sensitivitya
P15095	Detection limit
P15096	Experimental Dataset
P15097	Groundtruth Speci cation
P15098	Performance Results
P15099	Error Analysis
P15100	Comparative Evaluation
P15101	Key Idea
P15102	Physical Layout Representation
P15103	Logical Structure Representation
P15104	Output Representation
P15105	Logical Labels
P15106	Application Domain
P15107	Material linearity - Adhesive - Linear
P15108	Material linearity - Adhesive - Nonlinear
P15109	Material linearity - Adherend - Linear
P15110	Material linearity - Adherend - nonlinear
P15111	Adherends - Isotropic
P15112	Adherends - Composite
P15113	Adherends - Similar
P15114	Adherends - Dissimilar - Thickness
P15115	Adherends - Dissimilar -Material
P15116	Adhesive stresses - sx
P15117	Adhesive stresses - sy
P15118	Adhesive stresses - txy
P15119	Solution - Closed-form
P15120	Solution - Numerical
P15121	Place of experiment
P15122	Population
P15123	Procedure
P15124	Data analysis
P15125	Concluding remarks
P15126	Comments
P15127	Governmnt regulation
P15128	Illegal activities
P15129	National statistics (GNP)
P15130	Labor market or status of labor (unregul., no soc. benef., work condit., etc.)
P15131	Tax evas. or unreport. income
P15132	Activity’s size (small scale of operat.)
P15133	Professional status (self-empl. Or family-based)
P15134	Activity’s regulation or registration
P15135	Networks
P15136	Autonomy and flexibility
P15137	Survival
P15138	Political (legal aspects) Governmnt regulation
P15139	Criteria Economic Activity’s size (small scale of operat.)
P15140	Social Autonomy and flexibility
P15141	Demand
P15142	Topology
P15143	outing
P15144	Inventory
P15145	Fleet composition
P15146	Fleet size
P15147	Inventory fleet
P15148	Composition
P15149	Products
P15150	Routing aspects
P15151	Inventory management aspects
P15152	Sources
P15153	Chitosanase family
P15154	Applications
P15155	Protocol
P15156	Innovation
P15157	Cluster count
P15158	Inter-cluster topology
P15159	CH election
P15160	Mobility
P15161	Location awareness
P15162	Load balancing
P15163	Node type
P15164	Nature
P15165	Cluster Properties Cluster size
P15166	Intra com.
P15167	Inter com.
P15168	CH Properties Mobility
P15169	ole
P15170	Objectives
P15171	Clustering Process CH Election
P15172	Alg. Complexity
P15173	Dynamism
P15174	CH Properties Mobility Node type
P15175	Column
P15176	Industry
P15177	Technical infrastructure
P15178	System integration
P15179	Data processing
P15180	Activation method
P15181	Group that reacts (withactivated matrix)
P15182	Polymer
P15183	Grouphat reacts
P15184	eagent
P15185	Activated groupproduced
P15186	Group that reacts(with activatedmatrix)
P15187	Sample Period
P15188	Nominal or real exchange rate used
P15189	Countries and Estimation technique used
P15190	Main Result
P15191	Name
P15192	System model
P15193	Control model
P15194	Fault tolerance
P15195	Simulator
P15196	Linux
P15197	Windows
P15198	Standards and technologies used
P15199	Open source
P15200	Behavior coordination
P15201	Real time
P15202	Distributed environment
P15203	Dynamic wiring
P15204	Security
P15205	Elements
P15206	Authors
P15207	Date
P15208	Steel Grade
P15209	Special Notes
P15210	Configuration of system
P15211	Control approach
P15212	Operating conditions
P15213	Undershoot [pu] 1 Δf1
P15214	Undershoot [pu] 2 Δf2
P15215	Column2 ΔPtie
P15216	Settling time (s) 1 Δf1
P15217	Settling time (s) 2 Δf2
P15218	Column3 ΔPtie
P15219	Controller design
P15220	Control structure
P15221	│ACE1│ Avg [pu]
P15222	│ACE2│ Avg [pu]
P15223	│ACE3│ Avg [pu]
P15224	Undershoot [pu] Δf
P15225	Δf2
P15226	Δf3
P15227	Undershoot [pu] 3 ΔPtie
P15228	Settling time (s) 3 ΔPtie
P15229	Correlation
